epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.06777,0.64105,1.39012,0.92056,0.94101,0.89249,0.93452,0.80808,0.6655,1.89184,0.9856,0.0005001,0.0005001,0.0005001
2,17.8626,0.60598,0.55992,0.87281,0.24705,0.61574,0.21476,0.16805,1.36148,inf,1.85674,0.00100009,0.00100009,0.00100009
3,26.8732,0.58506,0.6091,0.89747,0.45461,0.86874,0.5136,0.43138,1.09642,8.93383,1.62816,0.00148303,0.00148303,0.00148303
4,36.4653,0.58364,0.55799,0.87219,0.42065,0.76638,0.40025,0.35029,1.14541,11.4,1.57081,0.00158448,0.00158448,0.00158448
5,45.8991,0.58383,0.53315,0.88353,0.89338,0.87998,0.91863,0.8026,0.7827,1.98336,1.27267,0.00155698,0.00155698,0.00155698
6,55.0919,0.57553,0.49215,0.87266,0.98476,0.91534,0.97685,0.87129,0.69782,0.75903,1.14173,0.00152947,0.00152947,0.00152947
7,65.5694,0.56468,0.47874,0.86572,0.97165,0.92272,0.97196,0.86582,0.64689,0.82302,1.03567,0.00150197,0.00150197,0.00150197
8,75.4647,0.5722,0.4622,0.86807,0.96598,0.92833,0.96753,0.85183,0.62161,0.72133,1.0352,0.00147446,0.00147446,0.00147446
9,84.3867,0.56445,0.43687,0.86084,0.97818,0.91112,0.95953,0.86647,0.60443,0.60808,1.04407,0.00144696,0.00144696,0.00144696
10,93.6624,0.5329,0.43648,0.86694,0.94272,0.92266,0.96976,0.87541,0.56365,0.78122,1.01416,0.00141945,0.00141945,0.00141945
11,103.814,0.54242,0.42852,0.85821,0.97284,0.95398,0.98346,0.89307,0.52197,0.48712,0.99792,0.00139195,0.00139195,0.00139195
12,113.601,0.51309,0.39007,0.85057,0.97685,0.95544,0.99053,0.90822,0.48159,0.43116,0.95763,0.00136444,0.00136444,0.00136444
13,123.716,0.4602,0.36033,0.84582,0.98008,0.96075,0.98995,0.9002,0.49039,0.42858,0.97386,0.00133693,0.00133693,0.00133693
14,132.861,0.48339,0.37163,0.85392,0.97986,0.96701,0.98645,0.91277,0.4997,0.4301,1.0008,0.00130943,0.00130943,0.00130943
15,142.409,0.50641,0.36554,0.85015,0.98542,0.9321,0.98536,0.89751,0.52304,0.46233,0.98583,0.00128192,0.00128192,0.00128192
16,152.105,0.4741,0.35405,0.84632,0.97214,0.95359,0.98266,0.91393,0.45716,0.4058,0.94424,0.00125442,0.00125442,0.00125442
17,161.74,0.44469,0.35461,0.85831,0.98092,0.95609,0.98738,0.92816,0.43713,0.39376,0.9406,0.00122691,0.00122691,0.00122691
18,171.414,0.44096,0.32979,0.84062,0.98787,0.95617,0.98603,0.92237,0.45517,0.39582,0.95421,0.00119941,0.00119941,0.00119941
19,180.656,0.43676,0.33088,0.83986,0.97784,0.95244,0.9882,0.93013,0.45627,0.41958,0.97048,0.0011719,0.0011719,0.0011719
20,189.945,0.44653,0.33509,0.8441,0.97502,0.95458,0.98691,0.91275,0.49681,0.44572,0.96933,0.0011444,0.0011444,0.0011444
21,198.75,0.46168,0.35364,0.85486,0.98048,0.95047,0.98399,0.92057,0.46754,0.43187,0.94677,0.00111689,0.00111689,0.00111689
22,207.978,0.46528,0.3603,0.85216,0.97854,0.96213,0.9868,0.92349,0.46675,0.38627,0.9482,0.00108938,0.00108938,0.00108938
23,216.845,0.43268,0.32855,0.84041,0.98353,0.94262,0.98912,0.92177,0.47193,0.38288,0.95286,0.00106188,0.00106188,0.00106188
24,225.619,0.42614,0.31836,0.84081,0.9654,0.93012,0.97784,0.91365,0.44918,0.51102,0.94836,0.00103437,0.00103437,0.00103437
25,234.435,0.41434,0.3077,0.83167,0.96718,0.97851,0.99199,0.92808,0.43865,0.35503,0.95248,0.00100687,0.00100687,0.00100687
26,243.287,0.4281,0.31991,0.84058,0.9857,0.9637,0.98736,0.928,0.437,0.36148,0.94447,0.000979362,0.000979362,0.000979362
27,252.298,0.4278,0.30828,0.84161,0.97752,0.96768,0.98857,0.92955,0.42992,0.34138,0.93742,0.000951857,0.000951857,0.000951857
28,261.134,0.43104,0.31532,0.84387,0.98295,0.95121,0.98229,0.9297,0.44478,0.38408,0.96184,0.000924352,0.000924352,0.000924352
29,270.259,0.40894,0.30515,0.83857,0.98429,0.94693,0.98531,0.92879,0.44575,0.35512,0.97062,0.000896846,0.000896846,0.000896846
30,279.121,0.40776,0.29446,0.84116,0.98436,0.94765,0.98788,0.93066,0.46377,0.36658,0.98216,0.00086934,0.00086934,0.00086934
31,288.435,0.415,0.29553,0.8332,0.97931,0.96668,0.98955,0.93406,0.42411,0.34337,0.96274,0.000841835,0.000841835,0.000841835
32,299.265,0.40171,0.28532,0.8242,0.98593,0.97626,0.99031,0.93381,0.42701,0.32982,0.93574,0.000814329,0.000814329,0.000814329
33,308.248,0.43526,0.2956,0.83096,0.98472,0.97043,0.98979,0.93747,0.42989,0.34465,0.94076,0.000786824,0.000786824,0.000786824
34,317.496,0.39752,0.27556,0.82572,0.98177,0.97512,0.99173,0.938,0.4239,0.3161,0.93829,0.000759318,0.000759318,0.000759318
35,327.174,0.41805,0.29317,0.8396,0.98985,0.97152,0.99292,0.94201,0.42595,0.32516,0.95843,0.000731813,0.000731813,0.000731813
